exchange,exchangename,scripcode,scripname,marketlot,scripshortname,issuspended,instrumentname,expirydate,strikeprice,optiontype,markettype,foexposurepercent,lowerexchcircuitprice,upperexchcircuitprice,ticksize,scripisinno,indicesidentifier,isbanscrip,scripfullname,facevalue,calevel,maxqtyperorder,ultoken
0,NSE,759559,930PFL29 N0,1,930PFL29,N,"      ",0,0.000,N0," ",0.000,80000.000,120000.000,0.010,INE140A07823,0,N,PFL 9.30% 2029-930PFL29 N0,100000,0,0,759559
0,NSE,759277,930SCL2035 N0,1,930SCL2035,N,"      ",0,0.000,N0," ",0.000,80000.000,120000.000,0.010,INE148I07YE1,0,N,SCL 9.30% 2035 SR I-930SCL2035 N0,100000,0,0,759277
0,NSE,757498,930SCL35 NN,1,930SCL35,N,"      ",0,0.000,NN," ",0.000,800.000,1200.000,0.010,INE148I07XE3,0,N,SCL 9.30% 2035 SR XIII-930SCL35 NN,1000,0,0,757498
0,NSE,6149,930SFL28 YP,1,930SFL28,N,"      ",0,0.000,YP," ",0.000,836.800,1255.200,0.010,INE721A07OC7,0,N,SEC RED NCD 9.30% SR. II-930SFL28 YP,1000,0,0,6149
0,NSE,4926,931SFIL26A NA,1,931SFIL26A,N,"      ",0,0.000,NA," ",0.000,800.000,1200.000,0.010,INE244L07150,0,N,SERENCD8.75%SRVICI&II-931SFIL26A NA,1000,0,0,4926
0,NSE,25283,932AEL27 N3,1,932AEL27,N,"      ",0,0.000,N3," ",0.000,824.000,1236.000,0.010,INE423A07310,0,N,SEC RE NCD 9.32% SR III-932AEL27 N3,1000,0,0,25283
0,NSE,23722,935AKCF27 N0,1,935AKCF27,N,"      ",0,0.000,N0," ",0.000,83628.500,125442.742,0.010,INE197P07334,0,N,AKCFL 9.35% MAY 2027-935AKCF27 N0,100000,0,0,23722
0,NSE,756143,935IIFL28 NZ,1,935IIFL28,N,"      ",0,0.000,NZ," ",0.000,784.080,1176.120,0.010,INE530B07518,0,N,IIFL 9.35% TR I SR V-935IIFL28 NZ,1000,0,0,756143
0,NSE,763359,935ISF36 N0,1,935ISF36,N,"      ",0,0.000,N0," ",0.000,80000.000,120000.000,0.010,INE413U08192,0,N,ISF 9.35% 2036-935ISF36 N0,100000,0,0,763359
0,NSE,20643,935LTF29 N5,1,935LTF29,N,"      ",0,0.000,N5," ",0.000,888.800,1333.200,0.010,INE027E07972,0,N,SE RE NCD 9.35% SR.V OP2-935LTF29 N5,1000,0,0,20643
0,NSE,23708,935MOFSL29 N5,1,935MOFSL29,N,"      ",0,0.000,N5," ",0.000,829.600,1244.400,0.010,INE338I07107,0,N,SEC RE NCD 9.35% SR VI-935MOFSL29 N5,1000,0,0,23708
0,NSE,759564,935PFL33 N3,1,935PFL33,N,"      ",0,0.000,N3," ",0.000,888.000,1332.000,0.010,INE140A07773,0,N,PFL 9.35% SR IV 20233-935PFL33 N3,1000,0,0,759564
0,NSE,5861,935SCL28 NV,1,935SCL28,N,"      ",0,0.000,NV," ",0.000,800.000,1200.000,0.010,INE148I08330,0,N,UNSE RE NCD 8.89% SR.X-935SCL28 NV,1000,0,0,5861
0,NSE,27537,935TSI27 N0,1,935TSI27,N,"      ",0,0.000,N0," ",0.000,80960.000,121440.000,0.010,INE1C3207057,0,N,TSI 9.35% 27 SR I-A-935TSI27 N0,100000,0,0,27537
0,NSE,27408,935TSI29 N0,1,935TSI29,N,"      ",0,0.000,N0," ",0.000,83608.883,125413.320,0.010,INE1C3207073,0,N,TSI 9.35% 29 SR I-C-935TSI29 N0,100000,0,0,27408
